"species","birdID","date","longitude","latitude","dayOfYear","delta","h","The_turbidity_factor","C_t","I_h","D_h","G_h"
"Black-bellied plover","8","07-07-2017",-150.6684,70.4188,188,9.9094409052245,-0.751697650225467,0.79177422562677,0.972851746677297,-869.836486028611,7104.26205251861,6234.42556649
"Black-bellied plover","8","19-07-2017",-150.6557,70.4207,200,-6.88699802497328,-0.338678012023338,0.798936886151375,0.966107827771039,-518.43119064506,0.0212738721484311,-518.409916772911
"Black-bellied plover","8","27-07-2017",-150.7301,70.5026,208,22.6371519342102,-0.829238064852028,0.786346630305241,1.00760819122636,-952.685538896056,3101.89074643416,2149.20520753811
"Black-bellied plover","8","28-07-2017",-150.7162,70.497,209,17.5998909721796,-1.06083024358877,0.788494716003335,1.03199524125306,-1126.75537205018,1013.77389770368,-112.981474346499
"Black-bellied plover","8","28-07-2017",-150.7762,70.4846,209,17.5998909721796,-1.04843024358877,0.788494716003335,1.03199524125306,-1120.03183916915,1049.8084953426,-70.2233438265516
"Black-bellied plover","8","04-08-2017",-121.652,62.7635,216,5.34713722498369,0.703101316394863,0.79371977090619,1.03167818806764,591.955731869905,38.3003905225335,630.256122392438
"Black-bellied plover","8","04-08-2017",-122.104,62.4015,216,5.34713722498369,1.06510131639486,0.79371977090619,1.03167818806764,844.057255745984,44.8033923972498,888.860648143234
"Black-bellied plover","8","04-08-2017",-120.8369,60.6186,216,5.34713722498369,0.29359133719493,0.79371977090619,1.03167818806764,206.715567933037,24.6804884980539,231.396056431091
"Black-bellied plover","8","08-08-2017",-108.4596,51.4814,220,12.7009431891341,0.489451359006541,0.790583819535551,0.988639342986334,380.973999976054,32.0410125859838,413.015012562038
"Black-bellied plover","8","11-08-2017",-108.4562,51.4476,223,-8.88869230182055,-0.924764443180417,0.799790487122312,1.01576927354235,-1043.54358595276,1707.50186583593,663.958279883167
"Black-bellied plover","8","15-08-2017",-108.442,51.3902,227,21.7804815732469,-0.235411782349899,0.786711948156398,1.01248885850283,-443.446535337298,0.958316316147283,-442.488219021151
"Black-bellied plover","8","17-08-2017",-93.4952,35.15,229,-0.506076712503627,-0.472238803778997,0.79621581096482,1.02355771893725,-674.413381547796,6.86461714098841e+116,6.86461714098841e+116
"Black-bellied plover","8","17-08-2017",-92.1599,31.944,229,-0.506076712503627,0.536646150189203,0.79621581096482,1.02355771893725,441.692500708391,33.8010121808823,475.493512889273
"Black-bellied plover","8","19-08-2017",-91.366,29.4345,231,-21.3852086197061,1.01657016452549,0.805119491948702,0.967904201073162,777.391913971032,44.8053972256695,822.197311196701
"Black-bellied plover","8","19-08-2017",-91.3618,29.4127,231,-21.3852086197061,1.03837016452549,0.805119491948702,0.967904201073162,789.272404668626,45.1019614022869,834.374366070913
"Black-bellied plover","8","20-08-2017",-91.3711,29.4304,232,-3.78253408987085,-0.22621122717802,0.797613020933847,0.973218337984068,-424.911450063236,1.16467686864503,-423.746773194591
